 i tirsdags	2458
 i torsdags	2459
-agtigt	266
-bakke	609
-behandler	1843
-borg	244
-hed	1712
-idiot	1159
-inde	83
-kasse	609
-kollegium	111
-løs	263
-mester	497
-passer	1248
-posten	312
-s	77;1365;1711
-side	1791
-sikring	533;2958
-værk	948
aprilsnar	1182
ar	373;1721
arbejde	80
arbejde over	1008006;1086008
arbejdsløs	349
areal	135
argument	683
argumentere	683
arm	1996
armbåndsur	715
arrangement	228
arrangere	228
arrogant	153
art	266
artikel	1046
arv	745;745
arve	745
arvelig	745
asiat	1523
asiatisk	1523
asparges	2329
assistent	525
assurandør	2958
atletik	674;859;1131
atmosfære	98;3064;3183
atten	1421;1468
auditorium	2040
august	155;156
aula	2040
australier	1657;1658
australsk	1657;1658
autentisk	21
autograf	1201
automatisk	620
autoritet	640
av	569
avance	604
avanceret	311
avis	158;677
avle	353
b	883;2366
babser	591
baby	62;307;461
bad	474;475
bade	140;474;475
badebukser	1981
badedragt	1982
badehætte	1749
bag	448
bag ved	448
bagage	943
bagagevogn	1367
bagatel	767
bagdel	1997
bage	160
bagefter	641;1042
bager	160
bageri	160
baggrund	448
bagmand	1044806;1064803
bagtale	477
bagud	1042
bajer	2931
bakke	1048;1722
bakterie	276
bal	1744
balance	2936
balancere	2936
ballade	1040;1040
banan	1892
band	111
bande	111;3018
bane	1210
banegård	469
bang	907
bange	423
bangladesher	1621
bangladeshisk	1621
bank	678;1038
banke (slå)	1038
bar	954;3044;3188
barbere	459
barberkniv	459
barberskraber	459
bare	858;877;878
bare (kun)	767
bare den mindste	767
bare fødder	1385
bare ikke	49
barmhjertig	1021
barn	62;307;307
barndom	112
barnedåb	1035;1237
barnevogn	1367
barrikade	3063
barsel	1110
barsk	486
base	135
basis	135
batteri	183
beboelse	63
beboer	63
bede	407
bede at tage det roligt	1006
bede om	407;863
bede tage det med ro	1006
bedrage	424
bedrageri	424
bedre	53;632;765
bedrøvet	638
bedst	53;632;765;1125
bedste	1065
bedstefar	1061;1091
bedsteforældre	1101
bedstemor	744;1058
bedømme	397;640
bedøve	2937
bedøvelse	2937
befale	464
befale nogen til at gå til	1818
befinde sig	824
befolkning	1019;1449
befordring	1761
begavet	329;1817
begge to	485
begivenhed	81
begrave	425
begravelse	425
begreb	1231;1601
begynde	346;1334
begynde (på et hold eller i en klasse)	750
begå en fejl	915
begær	1318
behagelig	540;633
behandle	1843
behandling	838;1843
beherske sig	1053
beherske tegnsprog flydende	1382
beholde	3019
